"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Butcher","Novice",1,33,50,FALSE,NA,NA,"Raw Chicken",14,TRUE,1,NA,NA,16,"Low",2
2,"Butcher","Novice",1,33,50,FALSE,NA,NA,"Raw Rabbit",4,TRUE,1,NA,NA,16,"Low",2
3,"Butcher","Novice",1,33,50,FALSE,NA,NA,"Raw Porkchop",7,TRUE,1,NA,NA,16,"Low",2
4,"Butcher","Novice",2,100,50,TRUE,1,1,NA,NA,FALSE,NA,"Rabbit Stew",1,12,"Low",1
5,"Butcher","Apprentice",3,100,67,FALSE,NA,NA,"Coal",15,TRUE,1,NA,NA,16,"Low",2
6,"Butcher","Apprentice",4,50,67,TRUE,1,1,NA,NA,FALSE,NA,"Cooked Chicken",8,16,"Low",5
7,"Butcher","Apprentice",4,50,67,TRUE,1,1,NA,NA,FALSE,NA,"Cooked Porkchop",5,16,"Low",5
8,"Butcher","Journeyman",5,50,100,FALSE,NA,NA,"Raw Beef",10,TRUE,1,NA,NA,16,"Low",20
9,"Butcher","Journeyman",5,50,100,FALSE,NA,NA,"Raw Mutton",7,TRUE,1,NA,NA,16,"Low",20
10,"Butcher","Expert",6,100,100,FALSE,NA,NA,"Dried Kelp Block",10,TRUE,1,NA,NA,12,"Low",30
11,"Butcher","Master",7,100,100,FALSE,NA,NA,"Sweet Berries",10,TRUE,1,NA,NA,12,"Low",30
