"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Fisherman","Novice",1,50,50,FALSE,NA,NA,"String",20,TRUE,"1",NA,NA,16,"Low",2
2,"Fisherman","Novice",1,50,50,FALSE,NA,NA,"Coal",10,TRUE,"1",NA,NA,16,"Low",2
3,"Fisherman","Novice",2,50,50,TRUE,3,3,NA,NA,FALSE,NA,"Bucket of Cod","1",16,"Low",1
4,"Fisherman","Novice",2,50,50,TRUE,6,6,"Raw Cod",6,FALSE,NA,"Cooked Cod",NA,16,"Low",1
5,"Fisherman","Apprentice",3,100,67,FALSE,NA,NA,"Raw Cod",15,TRUE,"1",NA,NA,16,"Low",10
6,"Fisherman","Apprentice",4,50,67,TRUE,2,2,NA,NA,FALSE,NA,"Campfire","1",12,"Low",5
7,"Fisherman","Apprentice",4,50,67,TRUE,6,6,"Raw Salmon",6,FALSE,NA,"Cooked Salmon",NA,16,"Low",5
8,"Fisherman","Journeyman",5,100,100,FALSE,NA,NA,"Raw Salmon",13,TRUE,"1",NA,NA,16,"Low",20
9,"Fisherman","Journeyman",6,100,100,TRUE,8,22,NA,NA,FALSE,NA,"Enchanted Fishing Rod","1",3,"High",10
10,"Fisherman","Expert",7,100,100,FALSE,NA,NA,"Tropical Fish",6,TRUE,"1",NA,NA,12,"Low",30
11,"Fisherman","Master",8,100,100,FALSE,NA,NA,"Pufferfish",4,TRUE,"1",NA,NA,12,"Low",30
12,"Fisherman","Master",9,100,100,FALSE,NA,NA,"Boat",1,TRUE,"1",NA,NA,12,"Low",30
