"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Fletcher","Novice",1,100,67,FALSE,NA,NA,"Stick",32,TRUE,"1",NA,NA,16,"Low",2
2,"Fletcher","Novice",2,50,67,TRUE,1,1,NA,NA,FALSE,NA,"Arrow","16 ",12,"Low",1
3,"Fletcher","Novice",2,50,67,TRUE,1,1,"Gravel",10,FALSE,NA,"Flint","10 ",12,"Low",1
4,"Fletcher","Apprentice",3,100,100,FALSE,NA,NA,"Flint",26,TRUE,"1",NA,NA,12,"Low",10
5,"Fletcher","Apprentice",4,100,100,TRUE,2,2,NA,NA,FALSE,NA,"Bow","1",12,"Low",5
6,"Fletcher","Journeyman",5,100,100,FALSE,NA,NA,"String",14,TRUE,"1",NA,NA,16,"Low",20
7,"Fletcher","Journeyman",6,100,100,TRUE,3,3,NA,NA,FALSE,NA,"Crossbow","1",12,"Low",10
8,"Fletcher","Expert",7,100,100,FALSE,NA,NA,"Feather",24,TRUE,"1",NA,NA,16,"Low",30
9,"Fletcher","Expert",8,100,100,TRUE,7,21,NA,NA,FALSE,NA,"Enchanted Bow","1",3,"Low",15
10,"Fletcher","Master",9,100,67,FALSE,NA,NA,"Tripwire Hook",8,TRUE,"1",NA,NA,12,"Low",30
11,"Fletcher","Master",10,50,67,TRUE,8,22,NA,NA,FALSE,NA,"Enchanted Crossbow","1",3,"Low",15
12,"Fletcher","Master",9,50,67,TRUE,2,2,"Arrow",5,FALSE,NA,"Tipped Arrow","5 ",12,"Low",30
