"level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","low_range","high_range","item_wanted","item_wanted_2","num_item_given","item_given","trades_in_stock","price_multiplier","villager_xp"
"Novice",1,100,67,24,24," Paper",NA,"1","Emerald",16,"Low",2
"Novice",2,50,67,9,9," Emerald",NA,"1","Bookshelf",12,"Low",1
"Novice",2,50,67,5,64," Emerald"," Book","1","Enchanted Book",12,"High",1
"Apprentice",3,100,67,4,4," Book",NA,"1","Emerald",12,"Low",10
"Apprentice",4,50,67,1,1,"Emerald",NA,"1","Lantern",12,"Low",5
"Apprentice",4,50,67,5,64," Emerald"," Book","1","Enchanted Book",12,"High",5
"Journeyman",5,100,67,5,5," Ink Sac",NA,"1","Emerald",12,"Low",20
"Journeyman",6,50,67,1,1,"Emerald",NA,"4 "," Glass",12,"Low",10
"Journeyman",6,50,67,5,64," Emerald"," Book","1","Enchanted Book",12,"High",10
"Expert",7,100,50,1,1,"Book and Quill"," Book and Quill","1","Emerald",12,"Low",30
"Expert",8,33,50,4,4," Emerald",NA,"1","Compass",12,"Low",15
"Expert",8,33,50,5,5," Emerald",NA,"1","Clock",12,"Low",15
"Expert",8,33,50,5,64," Emerald"," Book","1","Enchanted Book",12,"High",15
"Master",9,100,100,20,20," Emerald",NA,"1","Name Tag",12,"Low",30
