"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Librarian","Novice",1,100,67,FALSE,NA,NA,"Paper",24,TRUE,"1",NA,NA,16,"Low",2
2,"Librarian","Novice",2,50,67,TRUE,9,9,NA,NA,FALSE,NA,"Bookshelf","1",12,"Low",1
3,"Librarian","Novice",2,50,67,TRUE,5,64,"Book",5,FALSE,NA,"Enchanted Book","1",12,"High",1
4,"Librarian","Apprentice",3,100,67,FALSE,NA,NA,"Book",4,TRUE,"1",NA,NA,12,"Low",10
5,"Librarian","Apprentice",4,50,67,TRUE,1,1,NA,NA,FALSE,NA,"Lantern","1",12,"Low",5
6,"Librarian","Apprentice",4,50,67,TRUE,5,64,"Book",5,FALSE,NA,"Enchanted Book","1",12,"High",5
7,"Librarian","Journeyman",5,100,67,FALSE,NA,NA,"Ink Sac",5,TRUE,"1",NA,NA,12,"Low",20
8,"Librarian","Journeyman",6,50,67,TRUE,1,1,NA,NA,FALSE,NA,"Glass","4 ",12,"Low",10
9,"Librarian","Journeyman",6,50,67,TRUE,5,64,"Book",5,FALSE,NA,"Enchanted Book","1",12,"High",10
10,"Librarian","Expert",7,100,50,FALSE,NA,NA,"Book and Quill",2,TRUE,"1",NA,NA,12,"Low",30
11,"Librarian","Expert",8,33,50,TRUE,4,4,NA,NA,FALSE,NA,"Compass","1",12,"Low",15
12,"Librarian","Expert",8,33,50,TRUE,5,5,NA,NA,FALSE,NA,"Clock","1",12,"Low",15
13,"Librarian","Expert",8,33,50,TRUE,5,64,"Book",5,FALSE,NA,"Enchanted Book","1",12,"High",15
14,"Librarian","Master",9,100,100,TRUE,20,20,NA,NA,FALSE,NA,"Name Tag","1",12,"Low",30
