"level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","num_item_wanted","item_wanted","item_given","trades_in_stock","price_multiplier","villager_xp"
"Novice",1,100,67,6," Leather","Emerald",16,"Low",2
"Novice",2,50,67,3," Emerald","Leather Pants",12,"High",1
"Novice",2,50,67,7," Emerald","Leather Tunic",12,"High",1
"Apprentice",3,100,67,26," Flint","Emerald",12,"Low",10
"Apprentice",4,50,67,5," Emerald","Leather Cap",12,"High",5
"Apprentice",4,50,67,4," Emerald","Leather Boots",12,"High",5
"Journeyman",5,100,100,9," Rabbit Hide","Emerald",12,"Low",20
"Journeyman",6,100,100,7," Emerald","Leather Tunic",12,"High",10
"Expert",7,100,100,4," Turtle Scute","Emerald",12,"Low",30
"Expert",8,100,100,6," Emerald","Leather Horse Armor",12,"High",15
"Master",9,50,100,5," Emerald","Leather Cap",12,"High",30
"Master",9,50,100,6," Emerald","Saddle",12,"High",30
