"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Mason","Novice",1,100,100,FALSE,NA,NA,"Clay Ball",10,TRUE,1,NA,NA,16,"Low",2
2,"Mason","Novice",2,100,100,TRUE,1,1,NA,NA,FALSE,NA,"Brick",10,16,"Low",1
3,"Mason","Apprentice",3,100,100,FALSE,NA,NA,"Stone",20,TRUE,1,NA,NA,16,"Low",10
4,"Mason","Apprentice",4,100,100,TRUE,1,1,NA,NA,FALSE,NA,"Chiseled Stone Bricks",4,16,"Low",5
5,"Mason","Journeyman",5,33,29,FALSE,NA,NA,"Granite",16,TRUE,1,NA,NA,16,"Low",20
6,"Mason","Journeyman",5,33,29,FALSE,NA,NA,"Andesite",16,TRUE,1,NA,NA,16,"Low",20
7,"Mason","Journeyman",5,33,29,FALSE,NA,NA,"Diorite",16,TRUE,1,NA,NA,16,"Low",20
8,"Mason","Journeyman",6,25,29,TRUE,1,1,NA,NA,FALSE,NA,"Dripstone Block",4,16,"Low",10
9,"Mason","Journeyman",6,25,29,TRUE,1,1,NA,NA,FALSE,NA,"Polished Andesite",4,16,"Low",10
10,"Mason","Journeyman",6,25,29,TRUE,1,1,NA,NA,FALSE,NA,"Polished Diorite",4,16,"Low",10
11,"Mason","Journeyman",6,25,29,TRUE,1,1,NA,NA,FALSE,NA,"Polished Granite",4,16,"Low",10
12,"Mason","Expert",7,100,6,FALSE,NA,NA,"Nether Quartz",12,TRUE,1,NA,NA,12,"Low",30
13,"Mason","Expert",8,50,74,TRUE,1,1,NA,NA,FALSE,NA,"Any color Stained Terracotta",1,12,"Low",15
14,"Mason","Expert",8,50,74,TRUE,1,1,NA,NA,FALSE,NA,"Any color Glazed Terracotta",1,12,"Low",15
15,"Mason","Master",9,50,100,TRUE,1,1,NA,NA,FALSE,NA,"Quartz Pillar",1,12,"Low",30
16,"Mason","Master",9,50,100,TRUE,1,1,NA,NA,FALSE,NA,"Block of Quartz",1,12,"Low",30
