"row_id","trade","level","bedrock_edition_slot","bedrock_edition_probability","java_edition_probability","em_wanted","num_em_want_low","num_em_want_high","item_wanted","num_item_want","em_given","num_em_given","item_given","num_item_given","trades_in_stock","price_multiplier","villager_xp"
1,"Toolsmith","Novice",1,100,40,FALSE,NA,NA,"Coal",15,TRUE,1,NA,NA,16,"Low",2
2,"Toolsmith","Novice",2,25,40,TRUE,1,1,NA,NA,FALSE,NA,"Stone Axe",1,12,"High",1
3,"Toolsmith","Novice",2,25,40,TRUE,1,1,NA,NA,FALSE,NA,"Stone Shovel",1,12,"High",1
4,"Toolsmith","Novice",2,25,40,TRUE,1,1,NA,NA,FALSE,NA,"Stone Pickaxe",1,12,"High",1
5,"Toolsmith","Novice",2,25,40,TRUE,1,1,NA,NA,FALSE,NA,"Stone Hoe",1,12,"High",1
6,"Toolsmith","Apprentice",3,100,100,FALSE,NA,NA,"Iron Ingot",4,TRUE,1,NA,NA,12,"Low",10
7,"Toolsmith","Apprentice",4,100,100,TRUE,36,36,NA,NA,FALSE,NA,"Bell",1,12,"High",5
8,"Toolsmith","Journeyman",5,100,40,FALSE,NA,NA,"Flint",30,TRUE,1,NA,NA,12,"Low",20
9,"Toolsmith","Journeyman",6,25,40,TRUE,6,20,NA,NA,FALSE,NA,"Enchanted Iron Axe",1,3,"High",10
10,"Toolsmith","Journeyman",6,25,40,TRUE,7,21,NA,NA,FALSE,NA,"Enchanted Iron Shovel",1,3,"High",10
11,"Toolsmith","Journeyman",6,25,40,TRUE,8,22,NA,NA,FALSE,NA,"Enchanted Iron Pickaxe",1,3,"High",10
12,"Toolsmith","Journeyman",6,25,40,TRUE,4,4,NA,NA,FALSE,NA,"Diamond Hoe",1,3,"High",10
13,"Toolsmith","Expert",7,100,67,FALSE,NA,NA,"Diamond",1,TRUE,1,NA,NA,12,"Low",30
14,"Toolsmith","Expert",8,50,67,TRUE,17,31,NA,NA,FALSE,NA,"Enchanted Diamond Axe",1,3,"High",15
15,"Toolsmith","Expert",8,50,67,TRUE,10,24,NA,NA,FALSE,NA,"Enchanted Diamond Shovel",1,3,"High",15
16,"Toolsmith","Master",9,100,100,TRUE,18,32,NA,NA,FALSE,NA,"Enchanted Diamond Pickaxe",1,3,"High",30
