player_id,session_id,timestamp,playtime_minutes,blocks_placed,blocks_destroyed,items_crafted,mobs_killed,deaths,coordinates_x,coordinates_y,coordinates_z,biome,health_remaining,hunger_level,experience_level,tools_used,armor_equipped,weather,game_mode,day_cycle,chat_messages,server_latency,fps,device_type,player_type
9605,75735,2024-01-01T00:10:00Z,153,968,804,119,4,6,-3077,151,-7101,Snowy,7,14,24,Axe,None,Clear,Survival,Night,28,244,133,PC,skilled
5236,76639,2024-01-01T00:20:00Z,233,653,639,197,20,9,-9521,60,-7218,Ocean,19,9,15,Axe,Iron,Thunderstorm,Survival,Night,39,223,186,PC,master
4799,73861,2024-01-01T00:24:00Z,284,607,727,126,47,1,-7067,135,-9615,Snowy,12,7,11,Hoe,Leather,Clear,Survival,Day,31,249,203,PC,master
6979,93135,2024-01-01T00:34:00Z,33,495,716,86,28,5,4344,8,-8020,Plains,3,19,6,Hoe,Netherite,Rain,Survival,Day,2,273,218,PC,beginner
8225,72916,2024-01-01T00:47:00Z,126,905,328,123,34,3,-659,132,2646,Forest,18,9,2,Pickaxe,Iron,Thunderstorm,Survival,Night,32,119,230,PC,intermediate
2765,51487,2024-01-01T00:49:00Z,66,78,705,156,35,5,1129,214,6013,Snowy,3,15,44,Pickaxe,Gold,Clear,Survival,Night,11,99,82,PC,beginner
2769,89455,2024-01-01T00:50:00Z,24,137,628,182,25,8,-2439,236,3754,Jungle,8,2,45,Shovel,Gold,Thunderstorm,Survival,Day,3,22,135,PC,beginner
3452,86063,2024-01-01T00:57:00Z,299,953,933,161,28,7,8121,249,2422,Plains,7,14,9,Hoe,Iron,Thunderstorm,Survival,Night,33,185,36,PC,master
7875,51982,2024-01-01T01:40:00Z,16,595,235,41,21,6,5495,190,-2415,Plains,0,15,26,Axe,Gold,Thunderstorm,Survival,Night,8,61,183,PC,beginner
5346,71937,2024-01-01T01:45:00Z,143,468,945,7,42,4,-3738,127,5165,Forest,0,2,45,Pickaxe,Gold,Thunderstorm,Survival,Day,22,221,32,PC,intermediate
2962,57063,2024-01-01T01:56:00Z,223,792,103,193,5,1,21,66,3950,Forest,3,3,31,Hoe,Netherite,Clear,Survival,Day,6,227,94,PC,skilled
9382,54851,2024-01-01T02:15:00Z,185,9,564,96,28,2,2071,203,3251,Plains,8,6,12,Shovel,Leather,Clear,Survival,Night,7,102,236,PC,skilled
8472,91396,2024-01-01T02:22:00Z,127,311,620,75,47,3,5537,13,4704,Snowy,15,5,36,None,Leather,Clear,Survival,Day,9,93,196,PC,intermediate
6905,98190,2024-01-01T02:23:00Z,284,892,900,148,47,3,-4708,97,-1529,Savanna,11,7,22,Hoe,Iron,Rain,Survival,Night,27,97,40,PC,master
3691,58638,2024-01-01T02:27:00Z,104,264,683,120,31,1,-8901,215,-4288,Forest,3,18,19,Hoe,None,Clear,Survival,Day,7,109,236,PC,intermediate
2002,73160,2024-01-01T02:30:00Z,114,135,266,166,43,8,-2781,25,-9117,Jungle,13,12,15,Pickaxe,None,Clear,Survival,Day,21,129,147,PC,intermediate
1183,73762,2024-01-01T02:34:00Z,143,313,697,182,2,1,9384,45,-5621,Desert,3,7,42,Shovel,Iron,Clear,Survival,Night,29,203,54,PC,intermediate
3383,61795,2024-01-01T02:48:00Z,178,101,538,172,49,1,7551,207,170,Desert,1,0,31,None,None,Thunderstorm,Survival,Night,22,15,40,PC,skilled
3790,78506,2024-01-01T02:54:00Z,134,850,765,11,22,7,-1010,247,-8408,Desert,6,8,7,Hoe,Netherite,Thunderstorm,Survival,Day,15,291,205,PC,intermediate
9142,89329,2024-01-01T03:11:00Z,191,881,954,176,10,8,-2833,100,8064,Plains,8,19,10,Axe,Iron,Rain,Survival,Night,18,73,94,PC,skilled
6018,77566,2024-01-01T03:15:00Z,141,851,176,145,40,4,-635,9,6836,Plains,13,19,1,Pickaxe,None,Clear,Survival,Day,16,182,86,PC,intermediate
8478,54982,2024-01-01T03:26:00Z,154,798,331,186,19,2,-7193,53,820,Plains,3,6,9,Hoe,Gold,Clear,Survival,Day,2,216,180,PC,skilled
8842,75141,2024-01-01T03:37:00Z,158,89,541,145,24,9,5967,122,-5341,Jungle,3,17,0,Sword,Gold,Clear,Survival,Day,34,181,184,PC,skilled
5164,67682,2024-01-01T03:38:00Z,186,322,676,80,20,1,8848,215,5797,Desert,18,0,30,Shovel,Netherite,Clear,Survival,Night,21,146,83,PC,skilled
8570,89576,2024-01-01T03:42:00Z,167,812,775,161,29,2,6668,252,-5847,Ocean,8,8,7,Hoe,Leather,Clear,Survival,Day,30,256,68,PC,skilled
4702,81671,2024-01-01T03:50:00Z,297,567,215,182,0,9,-4906,96,6415,Ocean,3,0,20,Shovel,None,Rain,Survival,Night,36,161,52,PC,master
3828,93764,2024-01-01T03:56:00Z,245,996,77,63,37,6,4057,174,-9241,Jungle,10,9,48,Pickaxe,Iron,Rain,Survival,Night,47,128,146,PC,master
8635,84495,2024-01-01T04:32:00Z,74,201,103,110,0,2,6097,228,7008,Savanna,3,17,23,Shovel,Diamond,Thunderstorm,Survival,Day,28,287,74,PC,beginner
6253,91955,2024-01-01T05:07:00Z,160,573,178,142,34,4,-842,57,-6193,Forest,15,0,37,Hoe,Leather,Thunderstorm,Survival,Day,33,119,225,PC,skilled
6145,54518,2024-01-01T05:33:00Z,242,530,77,108,17,0,5514,85,7245,Jungle,16,18,29,Hoe,None,Rain,Survival,Night,25,48,174,PC,master
5158,96143,2024-01-01T05:46:00Z,165,776,360,181,49,4,-4372,23,-7569,Desert,1,13,41,Sword,Gold,Clear,Survival,Night,12,46,50,PC,skilled
1144,56077,2024-01-01T05:53:00Z,38,777,710,44,3,8,8834,116,8090,Savanna,14,17,15,Pickaxe,Netherite,Clear,Survival,Day,33,120,92,PC,beginner
8556,67543,2024-01-01T05:57:00Z,185,397,127,118,7,6,648,165,5249,Jungle,6,8,19,Sword,Netherite,Rain,Survival,Night,32,259,118,PC,skilled
5923,51781,2024-01-01T06:06:00Z,118,537,787,102,3,0,-6058,197,4536,Desert,19,15,26,Sword,Diamond,Rain,Survival,Night,8,85,159,PC,intermediate
6257,61115,2024-01-01T06:23:00Z,275,454,433,163,10,0,4156,34,1611,Desert,10,12,19,Hoe,None,Clear,Survival,Night,8,79,183,PC,master
9835,78782,2024-01-01T06:36:00Z,173,216,451,154,19,3,-8171,166,-7600,Forest,15,12,19,Axe,Netherite,Rain,Survival,Night,12,297,84,PC,skilled
2260,65523,2024-01-01T06:47:00Z,164,821,440,27,12,2,7405,18,3637,Snowy,4,7,34,Shovel,Leather,Rain,Survival,Day,38,89,104,PC,skilled
5102,67523,2024-01-01T06:55:00Z,57,903,171,73,15,3,-2341,189,-8525,Desert,13,12,0,Pickaxe,Gold,Rain,Survival,Day,37,139,182,PC,beginner
6306,69937,2024-01-01T06:59:00Z,160,288,11,117,48,9,-3970,124,-6256,Plains,0,17,7,Pickaxe,Gold,Clear,Survival,Day,48,145,215,PC,skilled
4364,62365,2024-01-01T07:04:00Z,20,946,135,81,7,4,3667,25,-6984,Desert,18,6,7,Sword,Iron,Clear,Survival,Day,30,242,156,PC,beginner
5413,53869,2024-01-01T07:07:00Z,155,149,684,161,1,4,8765,251,7322,Desert,16,14,35,None,Netherite,Thunderstorm,Survival,Night,45,183,154,PC,skilled
5472,60740,2024-01-01T07:15:00Z,44,405,294,189,12,9,-2123,150,-8746,Jungle,2,13,2,None,Iron,Clear,Survival,Day,21,111,98,PC,beginner
9535,79253,2024-01-01T07:20:00Z,27,762,641,13,32,2,-8961,195,2665,Forest,4,5,8,None,Leather,Rain,Survival,Day,12,243,236,PC,beginner
9184,96380,2024-01-01T07:34:00Z,178,475,709,63,21,4,3338,109,5516,Desert,11,6,7,Shovel,Iron,Rain,Survival,Night,6,236,199,PC,skilled
3258,73651,2024-01-01T07:51:00Z,50,435,340,18,30,0,-6572,169,9631,Jungle,16,14,34,Pickaxe,Netherite,Clear,Survival,Day,19,110,31,PC,beginner
6896,97655,2024-01-01T08:05:00Z,249,355,307,27,27,0,1011,72,6464,Plains,5,5,30,Pickaxe,Gold,Rain,Survival,Day,15,18,193,PC,master
1977,75291,2024-01-01T08:11:00Z,172,209,28,153,8,9,2707,90,-2634,Savanna,6,3,15,Hoe,Netherite,Rain,Survival,Day,26,38,52,PC,skilled
8465,93549,2024-01-01T08:12:00Z,233,205,306,51,20,1,-7687,231,6225,Forest,3,11,49,Axe,Gold,Rain,Survival,Night,34,239,149,PC,master
7420,95884,2024-01-01T08:19:00Z,285,403,701,111,36,3,4999,180,-2399,Desert,11,1,3,Shovel,Leather,Rain,Survival,Day,35,107,202,PC,master
1573,67657,2024-01-01T08:21:00Z,250,331,870,134,39,3,-8489,96,5240,Plains,0,0,11,None,Leather,Rain,Survival,Night,17,208,203,PC,master
9676,69272,2024-01-01T08:45:00Z,23,786,679,192,33,7,7963,130,-7418,Jungle,10,10,40,Axe,Netherite,Thunderstorm,Survival,Night,43,133,222,PC,beginner
6641,85213,2024-01-01T08:53:00Z,38,0,507,48,18,0,9974,108,-9517,Desert,4,0,36,Axe,Diamond,Rain,Survival,Night,1,287,76,PC,beginner
9464,65884,2024-01-01T09:03:00Z,69,76,370,38,35,6,-1698,232,1373,Jungle,4,18,44,Axe,Diamond,Clear,Survival,Night,6,240,205,PC,beginner
6430,84121,2024-01-01T09:14:00Z,240,267,230,50,37,2,7415,208,4846,Savanna,12,16,24,Hoe,Iron,Thunderstorm,Survival,Night,28,44,80,PC,master
6212,76869,2024-01-01T09:19:00Z,147,240,787,116,33,5,5679,31,9048,Plains,10,10,22,Pickaxe,Netherite,Clear,Survival,Night,32,74,172,PC,intermediate
1773,73375,2024-01-01T09:41:00Z,234,127,393,36,0,9,5203,116,-3797,Ocean,16,11,14,Axe,Iron,Clear,Survival,Night,39,248,136,PC,master
