Player_ID,Session_ID,Timestamp,Playtime_minutes,Blocks_Placed,Blocks_Destroyed,Items_Crafted,Mobs_Killed,Deaths,Coordinates_X,Coordinates_Y,Coordinates_Z,Biome,Health_Remaining,Hunger_Level,Experience_Level,Tools_Used,Armor_Equipped,Weather,Game_Mode,Day_Cycle,Chat_Messages,Server_Latency,FPS,Device_Type
7172,65992,2024-01-01 00:00:00,212,628,768,31,48,2,-1266,93,5117,Plains,9,16,14,None,Iron,Rain,Hardcore,Day,17,178,63,Mobile
2290,63474,2024-01-01 00:01:00,9,656,154,139,14,7,-910,21,7899,Plains,15,7,27,Axe,Iron,Clear,Creative,Day,44,123,32,Mobile
1808,70611,2024-01-01 00:02:00,26,452,284,182,49,9,-944,211,1048,Snowy,18,9,9,Axe,None,Rain,Creative,Day,20,206,98,Console
5337,63604,2024-01-01 00:03:00,98,168,667,198,16,0,-6004,11,-5222,Jungle,14,15,5,Sword,None,Rain,Hardcore,Night,34,36,62,Console
7797,71180,2024-01-01 00:04:00,271,240,73,116,6,6,3936,151,7188,Snowy,15,9,13,Shovel,Netherite,Clear,Adventure,Night,49,240,185,Mobile
5148,82849,2024-01-01 00:05:00,185,276,994,143,4,4,9145,100,-3360,Desert,1,18,35,Axe,None,Clear,Creative,Night,22,249,174,PC
6257,98016,2024-01-01 00:06:00,296,925,934,41,24,5,4356,228,-2811,Jungle,2,9,24,Sword,Leather,Rain,Hardcore,Night,24,135,197,Mobile
2798,79077,2024-01-01 00:07:00,129,562,444,165,34,9,-9966,39,-2877,Forest,12,5,41,Axe,Iron,Clear,Survival,Night,45,176,136,Console
6109,88119,2024-01-01 00:08:00,9,243,475,141,10,1,7245,81,-8342,Desert,3,13,2,Axe,Iron,Clear,Adventure,Night,6,202,114,PC
2967,60818,2024-01-01 00:09:00,271,189,316,12,2,1,8928,255,-1539,Savanna,9,15,4,None,Gold,Thunderstorm,Creative,Night,40,13,168,PC
9605,75735,2024-01-01 00:10:00,153,968,804,119,4,6,-3077,151,-7101,Snowy,7,14,24,Axe,None,Clear,Survival,Night,28,244,133,PC
4006,57523,2024-01-01 00:11:00,250,944,923,152,12,7,6175,115,-4853,Ocean,2,2,49,Pickaxe,Gold,Rain,Adventure,Night,35,25,234,PC
1086,92216,2024-01-01 00:12:00,196,406,566,142,48,9,-3369,222,-3965,Forest,10,19,12,Pickaxe,Gold,Clear,Hardcore,Night,2,247,211,Mobile
8905,70728,2024-01-01 00:13:00,191,573,400,127,36,6,-7184,216,-4271,Jungle,2,4,31,Axe,Diamond,Rain,Hardcore,Night,16,26,200,PC
4549,82842,2024-01-01 00:14:00,264,719,727,77,38,9,8662,245,-6835,Savanna,10,19,46,Axe,Diamond,Thunderstorm,Creative,Night,39,64,132,Console
2696,60685,2024-01-01 00:15:00,68,514,273,101,40,2,-4175,76,2113,Jungle,17,15,7,Sword,Diamond,Thunderstorm,Creative,Night,16,128,171,Mobile
7671,76685,2024-01-01 00:16:00,286,61,268,110,1,7,-4389,254,3662,Savanna,9,10,12,None,Gold,Thunderstorm,Adventure,Day,15,238,219,PC
3328,85379,2024-01-01 00:17:00,202,363,434,25,13,8,-7594,211,5991,Snowy,15,17,27,Shovel,Netherite,Rain,Adventure,Night,1,107,60,Console
3443,80996,2024-01-01 00:18:00,107,143,675,132,30,7,-1631,203,7296,Plains,7,0,48,None,Gold,Clear,Adventure,Night,11,34,98,Mobile
6952,83848,2024-01-01 00:19:00,213,51,595,162,47,8,-2539,169,313,Savanna,9,6,36,Pickaxe,Netherite,Clear,Adventure,Day,49,70,106,Console
5236,76639,2024-01-01 00:20:00,233,653,639,197,20,9,-9521,60,-7218,Ocean,19,9,15,Axe,Iron,Thunderstorm,Survival,Night,39,223,186,PC
8375,59305,2024-01-01 00:21:00,299,611,858,100,48,7,547,206,4569,Snowy,18,14,35,None,Netherite,Rain,Hardcore,Day,24,23,90,Console
8235,58879,2024-01-01 00:22:00,296,882,224,9,28,7,6851,6,-4652,Ocean,3,17,45,Hoe,Leather,Clear,Creative,Day,44,34,48,Console
2554,58949,2024-01-01 00:23:00,234,191,733,113,29,4,-2778,234,9399,Snowy,7,5,21,Axe,Diamond,Rain,Hardcore,Day,36,161,154,Console
4799,73861,2024-01-01 00:24:00,284,607,727,126,47,1,-7067,135,-9615,Snowy,12,7,11,Hoe,Leather,Clear,Survival,Day,31,249,203,PC
8774,54668,2024-01-01 00:25:00,46,889,137,58,46,6,-9580,13,1389,Ocean,6,11,44,Axe,None,Thunderstorm,Hardcore,Night,38,67,203,Mobile
3608,94019,2024-01-01 00:26:00,16,371,424,181,26,3,3034,133,-3449,Jungle,2,13,46,None,Iron,Thunderstorm,Survival,Day,29,105,174,Console
9962,93268,2024-01-01 00:27:00,239,723,458,143,33,6,9372,145,-5924,Desert,0,10,32,Hoe,Iron,Rain,Survival,Night,40,25,175,Mobile
9872,76262,2024-01-01 00:28:00,218,25,760,53,37,2,-7830,41,626,Plains,5,0,3,Shovel,None,Rain,Survival,Day,8,172,171,Console
